"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Nov-2020","EQ","673.20","683.30","670.65","673.20","676.00","675.40","675.35","812.00","320.00",15938,"10,763,725.05",2164
"03-Nov-2020","EQ","683.00","688.00","669.00","672.10","670.95","673.20","677.86","812.00","320.00",20967,"14,212,774.20",1913
"02-Nov-2020","EQ","684.00","699.00","670.00","693.10","670.25","672.10","677.61","812.00","320.00",28746,"19,478,651.90",3270
"30-Oct-2020","EQ","672.50","699.90","672.50","672.20","697.50","693.10","688.18","812.00","320.00",34545,"23,773,288.70",1922
"29-Oct-2020","EQ","695.00","695.00","670.05","695.15","671.50","672.20","677.98","812.00","320.00",29550,"20,034,218.90",3331
"28-Oct-2020","EQ","702.00","708.90","691.00","703.45","695.65","695.15","699.75","812.00","320.00",32837,"22,977,845.25",2973
"27-Oct-2020","EQ","705.10","711.05","697.00","710.00","706.00","703.45","702.51","812.00","320.00",84951,"59,678,772.20",4878
"26-Oct-2020","EQ","710.00","718.00","705.00","720.00","709.85","710.00","710.02","812.00","320.00",20329,"14,434,038.45",1659
"23-Oct-2020","EQ","717.55","724.00","715.45","717.55","720.00","720.00","720.52","812.00","320.00",23798,"17,147,014.75",2204
"22-Oct-2020","EQ","714.95","723.90","709.10","715.45","717.10","717.55","716.19","812.00","320.00",35987,"25,773,594.30",2334
"21-Oct-2020","EQ","720.00","729.25","711.00","715.55","716.35","715.45","720.14","812.00","320.00",93416,"67,272,991.45",5256
"20-Oct-2020","EQ","703.00","719.00","696.55","702.75","717.20","715.55","707.75","812.00","320.00",53538,"37,891,265.75",3127
"19-Oct-2020","EQ","708.60","710.50","697.85","700.25","702.50","702.75","704.45","812.00","320.00",32004,"22,545,369.45",2383
"16-Oct-2020","EQ","712.95","719.40","695.25","701.05","699.60","700.25","705.17","812.00","320.00",61846,"43,611,640.60",4613
"15-Oct-2020","EQ","724.00","731.00","698.00","721.25","702.00","701.05","715.27","812.00","320.00",76219,"54,517,336.50",6613
"14-Oct-2020","EQ","716.85","731.75","697.90","710.85","719.85","721.25","718.84","812.00","320.00",147826,"106,263,157.20",10912
"13-Oct-2020","EQ","714.00","719.95","707.10","709.40","711.00","710.85","711.97","812.00","320.00",55760,"39,699,420.55",5164
"12-Oct-2020","EQ","718.95","730.00","705.20","715.40","710.00","709.40","715.77","812.00","320.00",221772,"158,737,738.40",6136
"09-Oct-2020","EQ","725.05","731.90","711.60","721.35","713.00","715.40","717.95","812.00","320.00",58812,"42,224,096.25",5915
"08-Oct-2020","EQ","731.00","751.70","711.60","717.35","715.35","721.35","734.28","812.00","320.00",245828,"180,507,011.05",13285
"07-Oct-2020","EQ","722.00","734.85","712.20","717.80","714.75","717.35","723.71","812.00","320.00",94223,"68,190,439.45",6593
"06-Oct-2020","EQ","730.00","734.00","710.00","725.55","720.00","717.80","721.44","812.00","320.00",71011,"51,230,076.10",5464
"05-Oct-2020","EQ","707.00","734.50","706.00","697.45","725.00","725.55","723.92","812.00","320.00",146488,"106,045,247.50",10016
"01-Oct-2020","EQ","708.00","713.70","695.80","701.10","698.00","697.45","704.57","812.00","320.00",40182,"28,311,021.35",3905
